,sample_id,source_paragraph,target_paragraph,ground_truth,type
0,384How do bacteria cause disease?,"A virus is an infectious agent that invades a host cell and replicates itself by using the host's cellular machinery. Once the virus has infected the host cell, it can produce toxins that cause the host cell to malfunction and die. In addition, the virus can trigger an immune response, prompting the body to produce antibodies that can fight the virus. Ultimately, a virus can cause disease by infecting host cells and producing toxins."," Bacteria infect a host cell. Following the infection, a strong immune response from the body is triggered to fight off the bacteria. After the immune response, the bacteria reproduce inside the host cell. Finally, toxins are produced as a result of the bacteria reproduction, which damage the host cell.",0,distractor
1,521Describe the lifecycle of a human,"The life cycle of a bird begins with the formation of an egg, which develops into an embryo. Fertilization of the egg produces offspring. When the egg hatches, the hatchling matures into an adult bird. During its adult life, the bird can reproduce and the cycle begins anew.","Plants obtain water through the soil they are growing in.
The plants roots absorb the water from the soil.
Transport the water to the parts of the plant where the water is needed.
The plant uses the water as part of the photosynthesis process.
The plant creates food, called glucose, for itself.
The plant uses water to circulate the glucose around the plant to deliver the glucose to where it's needed.",0,random
2,923How does a ventilation system work?,"Lungs are an important part of the respiratory system. They take in oxygen from the air and expel carbon dioxide. The lungs are also responsible for filtering out particles and other harmful substances from the air we breathe. The oxygen is then used by the body to create energy, while the carbon dioxide is expelled back into the atmosphere."," The incoming air is first filtered to remove any unwanted pollutants. Then, a ventilator takes in air and expels exhaust air in a ventilation system. Following this, the ventilator expels the exhaust air. Finally, the cycle repeats itself to keep the air inside the building clean and free of pollutants.",0,distractor
3,1099How do antibodies work?,"Vaccinations work by stimulating the body's immune system.
 A vaccine contains an inactive version of a virus or bacteria.
 When the vaccine is injected into the body, it activates the T-cells, which are the immune system's main defense against pathogens.
 The T-cells recognize the inactive virus or bacteria and respond by producing memory cells.
 These memory cells remain in the body, allowing the immune system to recognize the virus or bacteria if it is encountered again and respond quickly, preventing the infection from taking hold.","Sediment becomes loose from the rest of the soil.
The sediment rolls down hill towards a river.
The heavy items sink to the bottom.
The lighter items float on the top and in convection cycles.
As the river flows the sediment is moved.
The sediment gets dumped through tributaries into lakes and the ocean.
The sediment keeps moving around the world in convection currents.",0,random
4,425How does natural gas get from the reservoir to an electricity plant?,"Oil is extracted from the ground by drilling, and it is then transported by pipeline.
  The oil is then refined in a refinery, where it is converted into various products such as gasoline and diesel fuel.
  The refined oil is then distributed to gas stations all over the country, where it is sold to consumers.","Natural gas is extracted from a reservoir through drilling and pumping.
  It is then transported by pipeline to the processing plant, where it is cleaned and purified.
  Once processed, the natural gas is delivered to the electricity plant, where it is used to generate electricity.",1,close analogy
5,22How is an ocean trench formed?,"Valleys are formed through erosion.
  As water, wind, and ice erode the land, they create deep troughs that become valleys.
  Rivers also have a hand in valley formation, carving out the land as they flow.
  When the valleys are formed, they are often filled with sediment, which can be carried by wind and rivers.","Your body accomplishes ""rapid hemostasis"" (stops the bleeding) through a process called vasoconstriction, in which your blood vessels are closed tight.
Inflammation is your body's way of alerting you of an injury.
Proliferation and migration is when cells move in a certain orderto been to heel and to further contract blood vessels. and.
The body then begins the process of rebuilding tissue and is called angiogenesis.
It's time to begin regrowing damaged skin which is called reepithelialization.
Synthesis often happens almost simultaneously as it form blood clots.
Synthesis helps further prevent bleeding as new skin and veins are formed.",0,random
6,263How does a mechanical system of waste management work?,"Recycling works by taking garbage and separating it into recyclables such as paper, glass, and plastic. Paper is then ground into fibers, while glass is melted into pellets. The recycled materials are then used to create new products, reducing the need for new materials and helping to conserve the environment.","You inhale.
Your diaphragm moves down.
Your lungs have more room.
Your lungs fill with air.
You exhale.
Your diaphragm moves back up.
Carbon dioxide is exhaled.
You start the process over again.",0,random
7,536How does the lymphatic system remove toxins from the body?,"Blood is responsible for transporting waste from the body's organs to be eliminated.
  The kidneys are responsible for filtering out toxins from the blood, while the liver breaks down any toxins that have been ingested.
  The waste is then released into the bloodstream and eventually expelled from the body."," The lymphatic system transports toxins away from the body. The lymphocytes then break down the toxins and other substances into smaller molecules that can be expelled from the body. Afterward, the lymph carries toxins away from the organs and moves them to the lymph nodes. Finally, the lymph nodes filter out any toxins and other unwanted substances from the lymph.",0,distractor
8,232How does sonar work?,"Bats use echolocation to navigate their surroundings.
  They emit sound waves which bounce off objects and return as an echo.
  The echo reflects the sound waves back to the bat and the bat listens for the echo to return.
  The echo helps the bat to determine the size and shape of the object with which it is interacting.","Coal is heated in the boiler.
The water tank over the boiler is heated.
Creates steam.
The steam is funneled to the piston.
Piston uses the steam as energy.
The piston causes the crankshaft to move.",0,random
9,80How do glaciers shape the landscape?,"Mountains are formed when tectonic plates push up earth's crust.
  This process of plate tectonics is often accompanied by volcanic activity, which can also create mountains.
  Erosion can then break down the mountain peaks over time.","Glaciers have a dramatic effect on the landscape. They push up the earth's surface, forming valleys and other landforms. As the glaciers move, they carry rocks and other material along with them. The melting ice then breaks down the rock formations, creating a variety of landforms.",1,close analogy
10,1055How does a tree get water from the ground?,"The roots of a plant absorb nutrients from the soil. Nutrients like nitrogen, phosphorus, and potassium are essential for the growth of the plant. Fertilizers can also be added to the soil to provide minerals for the plant. Soil also naturally stores nitrogen, which is picked up and used by the plant.","A tree gets water from the ground by using its roots to absorb water from the soil. Rainfall also helps to provide moisture to the soil, which helps to store the water that the tree needs. The roots of the tree then extract the water from the soil and transport it up to the tree.",1,close analogy
11,393How does a government policy influence public opinion?,"A coal-powered power station generates electricity by burning coal to produce heat.
 The heat produced from burning coal is used to convert thermal energy into electrical energy.
 This electrical energy is then used to power an electric generator which produces electricity.
 The generator uses the electrical energy to generate a magnetic field which causes electrons to move and generate an electric current.
 This electric current is then directed to the power station's output to produce electricity.","An eagle flys along.
The eagle spots a mouse on the ground.
The eagle swoops down.
Catches the mouse in its talons.
The eagle has a meal.",0,random
12,880How does the water cycle work?,"Rain occurs when the atmospheric moisture is increased by evaporation.
 The water vapor then condenses, forming clouds.
 When enough water vapor condenses, the clouds become heavy and precipitation falls as rain."," The atmospheric moisture condenses to form clouds. After the formation of clouds, plants absorb water from the ground and release it into the atmosphere through transpiration. When the clouds become heavy enough, precipitation falls as rain. Finally, the rain returns moisture to the ground.",0,distractor
13,520Describe the life cycle of a butterfly,"A fish begins its life cycle by laying eggs.
  The eggs hatch into fry, which are the juvenile form of the fish.
  As the fry grow, they mature into adult fish.
  The adult fish are then capable of reproducing and repeating the life cycle."," The life cycle of a butterfly begins when the butterfly lays eggs. The eggs hatch into larvae, also known as caterpillars. Inside the chrysalis, the caterpillar matures into an adult butterfly before completing its growth. The caterpillars feed and grow until they reach maturity. The caterpillars then form a chrysalis. When the chrysalis opens, the butterfly emerges and the life cycle is complete, despite the illogical order of events.",0,distractor
14,925How does a water filtration system work?,"Lungs are vital organs that are responsible for respiration. They absorb oxygen from the air and then pass it through the alveoli and into the blood. The oxygen then diffuses into the blood, providing the body with oxygen to power its vital functions.","A water filtration system works by passing water through a filter, which absorbs contaminants.
 The water then passes through a membrane which allows water to pass through but blocks any large solutes.
 The solutes then diffuses through the liquid, allowing for the clean water to be collected.",1,far analogy
15,1203How do enzymes catalyze the production of proteins in a cell?,"Protein synthesis begins with the transfer of genetic information from DNA to RNA.
  The RNA codes for the specific protein that needs to be synthesized.
  Ribosomes then assemble the amino acids in the correct sequence according to the code in the RNA.
  The tRNA brings the amino acids to the ribosomes and the proteins are synthesized."," The production of proteins in a cell is catalyzed by enzymes. Coenzymes then bring the substrates together. Following this, the process begins with DNA, which codes for a particular gene. The gene is then transcribed, and enzymes assemble the necessary substrates. Finally, enzymes catalyze the production of proteins.",0,distractor
16,823How does a human heart pump blood?,"A coal-powered power station generates electricity by burning coal in combustion turbines.
 The heat generated by the combustion turbines is used to turn a generator, which then produces electrical power.
 The electricity is then sent to a transformer, which increases the voltage of the electricity before it is sent to the grid.
 To regulate the current and ensure safety, a circuit breaker is used to detect and stop any faults in the system.","The ventricles of the heart generate a pressure that pushes the blood out of the heart.
 Valves in the heart prevent the blood from flowing back in, which increases the blood flow throughout the body.
 The arteries then regulate the oxygen levels in the blood, ensuring that the body gets enough oxygen.",1,far analogy
17,611Describe how viruses can cause infections.,"Bacteria can cause disease when they invade human cells.
 The bacteria produce toxins which can harm the cells and cause diseases.
 These toxins can cause inflammation and damage to the cells, and can lead to a variety of illnesses such as food poisoning, urinary tract infections, and even more serious conditions.
 Bacteria can also cause diseases by releasing toxins into the bloodstream which can cause a range of symptoms.","Fish start as eggs.
The eggs hatch.
A larvae emerges.
The larvae matures and grows.
The larvae becomes an ""adolescent"" fish (or fry).
The adolescent fish grows.
The fish might go through several sub-stages, depend on its species or type.
The fish is now a mature adult.
The adult fish can lay more eggs.",0,random
18,796How does the photosynthesis process work?,"The lungs are responsible for taking in oxygen and expelling carbon dioxide. When we inhale, our lungs fill with oxygen. This oxygen is then circulated throughout the body in our bloodstream. On the exhale, the lungs expel the carbon dioxide that our body has produced. In this way, the lungs exchange the gasses that our body needs in order to function properly.","The photosynthesis process takes place in the chloroplasts of plants.
 These chloroplasts take in carbon dioxide from the air and expel oxygen.
 The chloroplasts exchange these gases, and the carbon dioxide is used to create glucose and other organic molecules.
 The oxygen is released into the atmosphere.",1,far analogy
19,721How does evaporation create condensation in the atmosphere?,"Clouds are formed when water vapor rises to higher altitudes in the atmosphere.
  As the air rises, it cools and condenses into tiny droplets of water.
  These droplets merge together to form clouds, which are composed of millions of water droplets."," Liquid water turns into vapor through evaporation. The temperature decreases at higher altitudes, causing moisture to condense. After the temperature decreases, moisture rises to higher altitudes. Finally, clouds form in the atmosphere as a result of condensation.",0,distractor
20,484Describe the process of developing and deploying a software,"Writing and posting a letter involves composing a letter and placing it in an envelope. The envelope is then sealed, addressed and stamped before being posted. Posting involves delivering the letter to the receiving address, where it will be sorted and forwarded to its destination.","Developing software involves composing software using code in a programming language.
  Once the software is developed, it is stored on a server where it can be accessed.
  When it is time to deploy the software, it is delivered from the server to the users.
  The deployment process is responsible for delivering the software to the users.",1,far analogy
21,925How does an artificial lung work?,"The primary function of the lungs is to exchange oxygen and carbon dioxide. 
 The lungs absorb oxygen from the air and expel carbon dioxide. 
 This exchange of oxygen and carbon dioxide is important for our bodies to maintain a healthy balance.","An artificial lung is a device that is used to exchange oxygen and carbon dioxide. It works by absorbing oxygen from the surrounding air and expelling carbon dioxide. The artificial lung helps to maintain a balance of oxygen and carbon dioxide in the body, allowing it to function normally.",1,close analogy
22,745How do humans interact with one another?,"Bees are important pollinators for many plant species. They transfer pollen from the male parts of flowers to the female parts, enabling fertilization and reproduction. To do this, they collect nectar and use their hair to transport the pollen. In addition, they produce honey as a byproduct of their pollination.","Humans interact with one another by exchanging information.
 They collect data from the environment and from each other to try to understand the world around them.
 By gathering and analyzing data, people are able to produce new knowledge.",1,far analogy
23,11How does a river erode its banks?,"Ocean waves wash away rocks and sand.
  Tides move the sediment, and ocean currents erode the cliffs.
  Erosion by the ocean is a continuous process, whereby the ocean's power wears away the coastlines of land. This process is accelerated by high winds and storms, which increase the intensity of the waves, tides, and currents.","The river flow washes away soil and sediment from its banks.
  When there are floods, a large amount of sediment is moved downstream, which can erode the riverbanks.
  The force of the streams can also cause erosion, as they cut into the banks of the river.",1,close analogy
24,112How does a solar cell convert light energy into electrical energy?,"During photosynthesis, chlorophyll absorbs sunlight, which is used to break down water and carbon dioxide molecules.
  The energy from the sunlight is used to react the carbon dioxide with the water and produce glucose.
  The process also releases oxygen as a byproduct."," A solar cell is composed of a semiconductor material that absorbs light energy. The energized electrons then flow through the cell, producing an electric current that can be used to produce energy. After the electric current is produced, the light energy is absorbed, and the electrons of the semiconductor react with the electric field and become energized.",0,distractor
25,11What happens during deforestation of a rainforest?,"The ocean waves erode the coastline by breaking down rocks and carrying them away.
  Water currents also erode sediment, further contributing to the erosion of the coastline.
  Salt water can dissolve rocks and minerals, adding to the erosion process.","Kidneys filter waste out of blood.
Composition of blood is regulated.
Volume of water in blood is kept constant.
PH is kept at a constant level.
Kidneys help regulate blood pressure.
Kidneys stimulate the making of red blood cells.
Calcium levels are maintained.",0,random
26,1219How does the soil and climate foster plant growth?,"Forests are formed when sunlight provides energy that helps plants to grow.
 Water is essential for this growth, as it nourishes the plants allowing them to thrive.
 Nutrients in the soil also contribute to the growth of the plants, as they support their development.","Soil and climate have an important role in fostering plant growth. Sunlight provides a source of energy for photosynthesis, which is essential for the growth of vegetation. Water is also necessary for plant growth and helps to nourish the vegetation. Additionally, the soil provides essential nutrients which help to support the germination of the plants.",1,close analogy
27,1136How do cats hunt in the dark?,"Owls have an incredible night vision, which helps them to locate their prey in the dark.
 Using their enhanced sight, they can easily spot their prey and swoop down to catch it.
 Their night vision also gives them the advantage of surprise, allowing them to swoop in undetected and catch their unsuspecting prey.","Bees first secure the perfect spot, such as hollow areas of trees.
Bees will begin to chew max until it becomes softened.
The chewed up wax will be stored inside of a honeycomb.
Worker bees continue chewing and softening wax from within.
The chewed up wax is steadily added, making the hive bigger and bigger.
The bees will house nectar, honey and pollen within the honeycomb's cells.",0,random
28,1055How does a machine filter water?,The roots of the plant absorb minerals from the soil. The plant takes up water from the soil as well. The soil provides the plant with the nutrients it needs to survive and grow. The minerals and water are absorbed by the roots and transported up to the other parts of the plant.,"Blood delivers oxygen in the body.
Proteins and acids are broken down in the liver.
The liver releases waste in the form of urea.
The blood carries the urea and carbon dioxide to the kidneys.
The kidneys strain the urea and salts needed from the blood.
The carbon dioxide by product is transported back to the lungs.
Carbon dioxide is exhaled by the lungs.",0,random
29,587Describe the lifecycle of a bee,"The lifecycle of a butterfly begins when it hatches from a cocoon. The caterpillar will feed on nectar before it begins the transformation into an adult butterfly. Through metamorphosis, the caterpillar changes from a small worm-like creature into a beautiful winged insect. Once transformed, the butterfly will feed on nectar and fly away."," A bee hatches from a cell. The larva feeds on pollen and nectar to grow. Before transforming into an adult bee, it starts looking for a place to build a hive. Then, the larva finally transforms into an adult bee. The bee uses the pollen it collected to build the hive. The bee starts the cycle of reproduction.",0,distractor
30,640Describe the lifecycle of a butterfly,"Fish lay eggs in aquatic environments, which then hatch into fry.
 The fry grow and develop into juvenile fish, which swim in the water to hunt and feed.
 As the fish mature, they become adults and spawn offspring. This process repeats and completes the life cycle of a fish."," A butterfly lays eggs on a leaf or other surface. Then, the caterpillars crawl around the plant, grow, and molt several times. Afterward, the eggs hatch into caterpillars. The caterpillar then forms a cocoon and enters the pupal stage. The adult butterfly emerges from the cocoon. Finally, the butterfly mates to reproduce.",0,distractor
31,466Describe the process of sewage treatment,"Desalination is a process that produces fresh water from saltwater.
 The saltwater is filtered through membranes, which act as a barrier to separate the minerals from the water.
 The process of desalination removes the minerals from the saltwater, leaving behind fresh water.","The process of sewage treatment begins with the raw sewage being filtered through various filters.
 The larger solids are separated from the liquid and disposed of in a waste disposal system.
 The liquid is then treated with chlorine and other chemicals to remove any harmful bacteria or contaminants.
 After the removal of contaminants, the sewage treatment process produces clean water that is safe to use and can be discharged into the environment.",1,close analogy
32,852How does natural gas get from the ground to a power station?,"Miners extract coal from the ground to be used as a fuel source. The coal is then transported by trucks to a power station. Once at the power station, the coal is burned to create heat energy which is then used to produce electricity."," Workers extract natural gas from the ground. Immediately after extraction, at the power station, the natural gas is burned, which releases heat energy. After burning, the natural gas is then transported to the power station via pipeline. Finally, the heat energy is converted into electrical energy.",0,distractor
33,652Describe the life cycle of a human,"The life cycle of a rabbit begins when it reproduces and brings forth offspring. The young rabbits feed on their mother’s milk, while their fur begins to grow. As they grow older, they become independent and start to feed on their own. The rabbit continues to mature and eventually reproduces, beginning the cycle anew."," An adult human reproduces, creating a child. The child then reaches maturity and becomes an adult, able to reproduce and create their own children. After becoming an adult, the child is fed and nurtured by the parents. Finally, the child grows and develops physical features, such as hair, nails, and teeth.",0,distractor
34,135How do submarines use sonar?,"Bats use echolocation to navigate and find food. They emit high frequency sound waves that bounce off of objects in their environment. The bats then receive the echoes and interpret the information to locate their prey and navigate their surroundings. The echo provides the bats with information about the shape, size, and distance of the object.","You inhale air through your nose and mouth.
The air travels down into your lungs.
Oxygen from the air goes into your bloodstream.
Oxygen circulates throughout the body due to the heart's pumping.
Carbon dioxide travels from the blood into the lungs.
Carbon dioxide travels from the lungs up the windpipe.
Carbon dioxide is exhaled.",0,random
35,1073How does the human heartbeat occur?,"Thunderclouds accumulate an electrical charge as the air inside them rises and falls.
 The accumulation of electrical charge creates an imbalance in the electrical field and electricity travels between the clouds and the ground to restore balance.
 This discharge of electricity is what we know as lightning, and is the result of the buildup of electrical charge.","A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",0,random
36,157Describe the process of recycling a plastic bottle,"The process of recycling an aluminum can begins with collection.
 Aluminum cans are collected from a variety of sources and brought to recycling centers.
 Once they have been collected, the cans are recycled by being broken down and melted into new aluminum.
 This new aluminum can then be used to create new products.","A photovoltaic cell is created with two layers of semiconductor material.
The top layer are ""doped"" with impurities to allow a negative charge.
The bottom layer are ""doped"" to allow for a positive charge.
This produces an electric field that allows electrons to flow from negative to positve.
Sunlight enters the cell.
Energy from sunlight knocks electrons loose in both fields.
This prevents the flow of electrons from negative to positive.
Adding an external circuit allows the exchange to continue.
Give the cells owner a flow of electricity.",0,random
37,301How do you ride a bicycle?,"To use a skateboard, you must first balance on the deck.
 The truck of the skateboard acts as a steering mechanism, allowing you to control the direction of the board.
 To propel the skateboard forward, you must use your feet to push off the ground and move the board.","Riding a bicycle requires a good sense of balance as you must balance on the frame of the bicycle.
 The handlebars are used to steer the bicycle while the pedals are used to propel the bicycle forward.
 By using the pedals, the rider is able to create enough momentum to keep the bicycle in motion as they steer with the handlebars.",1,close analogy
38,636Describe the reproductive cycle of a species of fish,"The life cycle of a bird begins when an egg is hatched. The chick then develops feathers, enabling it to fly and hunt for food. As the bird matures, it becomes a juvenile and may migrate to a new environment. Eventually, it reaches adulthood and reproduces, beginning the cycle anew.","The reproductive cycle of a species of fish begins when the fish spawns eggs.
 The eggs hatch into fry and develop scales as they grow.
 The fry then become juvenile fish and migrate to a new habitat.
 Once the juvenile fish reaches the new habitat, the reproductive cycle begins again.",1,far analogy
39,939How does a solar panel work?,"During photosynthesis, chloroplasts absorb light energy from the sun. This energy is then used to convert CO2 into sugar. In addition, water is broken down into hydrogen and oxygen, which are then released into the atmosphere. The sugar created is then used as a source of energy for the plant."," A solar panel absorbs sunlight. Then, the electric current is broken down into electrons. Afterward, the solar cell captures the sunlight and converts it into electric current. Finally, the electrons flow through the circuit, providing energy.",0,distractor
40,771How does a gas exchange system function?,"The lungs work by allowing oxygen to enter and carbon dioxide to leave.
 Oxygen enters the lungs and is then drawn into the blood stream, where it is carried to the cells of the body.
 The blood then carries the oxygen to the cells and also carries carbon dioxide out of the cells, which then leaves the lungs.","Energy builds up in the crust of the earth.
The energy causes the fault lines give way.
The earth's plates move.
The energy radiates outward from the fault in all directions.
The seismic waves shake the earth as they move through it.",0,random
41,1154How is coal formed?,"Oil is created when decaying organic matter undergoes high pressure and temperature.
  This process forms hydrocarbons from the remains of dead organisms.
  The hydrocarbons then travel through sedimentary rocks, where they are trapped and form petroleum."," Ancient plants are buried underground. Then, coal is found in sedimentary rocks that have trapped it over millions of years. Afterward, high pressure and temperature cause their organic compounds to change. Finally, coal is formed as a fossil fuel.",0,distractor
42,22How is an ocean trench formed?,"Valleys are formed through erosion.
  As water, wind, and ice erode the land, they create deep troughs that become valleys.
  Rivers also have a hand in valley formation, carving out the land as they flow.
  When the valleys are formed, they are often filled with sediment, which can be carried by wind and rivers."," Tectonic activity occurs, causing the collision of two tectonic plates. A depression is created in the ocean floor due to the tectonic activity. The trench is then filled with silt, which eventually becomes sedimentary rock. After the trench is filled, over time, the ocean current carves the depression deeper and wider, forming the ocean trench.",0,distractor
43,1136How do bats locate their prey in the dark?,"Owls are able to hunt at night by using sound waves.
 They use their specialized facial disc to send out sound waves and detect the prey.
 The sound waves bounce off the objects and owls are able to locate the prey by interpreting the echoes. The owls also have an incredible sense of hearing which enables them to hone in on the prey."," Bats use a special technique called echolocation to hunt in the dark. The echoes allow the bats to detect the size, shape, and distance of the prey so they can locate it quickly and accurately. After detecting their prey, they emit high-frequency sound waves and detect the echoes that bounce off of nearby objects, which helps them locate their prey.",0,distractor
44,298Describe how viruses can cause malfunction in a computer system.,"Bacteria are microscopic organisms that can cause disease. They invade the cells of the body, producing toxins that can damage the cells. Bacteria can also multiply rapidly, overwhelming the body's natural defenses. This can cause a range of symptoms, from mild discomfort to serious illness."," Viruses are malicious programs that infect software and generate malicious code. The malicious code caused by the virus causes malfunctions in a computer system, such as freezing or crashing, and can corrupt or delete files. After causing the malfunctions, a virus infects a system. Finally, the virus spreads to other computers.",0,distractor
45,436How do people make decisions?,"To get water to boil, you need to apply heat.
 Heat increases the temperature of the water, causing it to reach its boiling point.
 At this point, the pressure of the vapor builds and the boiling of the water occurs.","Solar radiation reaches Earth's atmosphere.
Some is reflected back into space.
The rest of the energy is absorbed by land and oceans, heating the Earth.
Heat radiates from Earth to space.
Some of this heat is trapped by greenhouse gases in the atmosphere.
Human activities such as burning fuel are increasing the amount of greenhouses gases.
This causes more heat radiation to stay trapped in our atmosphere.
The Earth's temperature rises.",0,random
46,7How does a political system change over time?,"Volcanic eruptions occur when tectonic plates shift and cause changes in the Earth's crust.
  These movements can create a path for magma to rise to the surface, which builds up pressure in the magma chamber.
  The pressure from the magma builds until it is released in the form of a volcanic eruption.","Ideas shift public opinion, which can lead to protest in the streets.
  When the public expresses their dissatisfaction, tension begins to build in the political climate.
  This tension can lead to the implementation of changes in the political system, as the government seeks to address the issues raised by the public.",1,far analogy
