,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph
0,882How does photosynthesis occur?,882,How does recycling work?,Engineering,Natural Sciences,How does photosynthesis occur?,Biology,"(waste, recycled, materials) like (carbon dioxide, absorbed, by plants). (plastics, melted, down) like (water, used, by plants). (glass, crushed, into tiny pieces) like (sunlight, converted, into energy)","Recycling is the process of taking waste materials and transforming them into usable resources. Waste is sorted and recycled into new materials. Plastics are melted down and molded into new products. Glass is crushed into tiny pieces and mixed with other materials to make new products. By recycling, we can reduce the amount of waste going to landfills and help save our environment.",Photosynthesis is a process that occurs in plants where carbon dioxide is absorbed by the plant and water is used to create energy. Sunlight is converted into energy which is used to create glucose molecules. The glucose molecules are then used by the plant to grow and sustain itself.
6,807How do people make decisions?,807,How do you make ice cubes?,Engineering,Social Sciences,How do people make decisions?,Social Sciences,"(water, freeze, solid) like (information, process, conclusion). (freezer, lower, temperature) like (person, weigh, options). (ice cube, form, shape) like (decision, determine, outcome)","To make ice cubes, you need to freeze water. The freezer helps to lower the temperature of the water, so it can turn into a solid. Once the water has frozen, it takes on the shape of the ice cube form.","People make decisions by processing information to come to a conclusion. In order to do this, they weigh their options and consider the potential outcomes of their decision. The outcome of their decision is determined by the choices they make."
9,647Describe the life cycle of a robot,647,Describe the life cycle of a plant,Natural Sciences,Engineering,Describe the life cycle of a robot,Robotics,"(seed, sprouts, root) like (microchip, powers up, motor). (leaves, photosynthesize, energy) like (sensors, interpret, data). (flower, produces, pollen) like (software, produces, commands)","The life cycle of a plant begins with a seed. The seed then sprouts, forming a root. The root helps to stabilize the plant and provides it with water and nutrients. The plant grows leaves, which use sunlight to photosynthesize and produce energy. Eventually, the plant produces a flower, which produces pollen. The pollen is then used to fertilize other plants and complete the life cycle.","A robot's life cycle begins when its microchip is powered up. The microchip then sends signals to the motor, which is responsible for powering the robot's movement. Sensors are used to interpret data from the environment and the software produces commands for the robot to follow. Finally, the robot's activities are monitored and adjustments are made accordingly."
10,1218How do communities form?,1218,How do forests form?,Natural Sciences,Social Sciences,How do communities form?,Sociology,"(seeds, germinate, soil) like (ideas, spread, people). (trees, grow, forest) like (individuals, unite, community). (water, nourish, seedlings) like (interactions, strengthen, relationships)","Forests form as seeds germinate in the soil. These seedlings grow into trees, slowly forming a forest. Water is necessary to nourish these seedlings, helping them reach maturity. Therefore, water is an essential step in the formation of forests.","Ideas can spread among people, creating a common understanding that can unite individuals into a community. Interactions between members of the community can strengthen relationships, forming a collective bond. As these relationships grow, so does the community, creating a collective identity and purpose."
17,605How does climate change impact society?,605,Describe how acid rain can affect the environment.,Natural Sciences,Social Sciences,How does climate change impact society?,Social Sciences,"(Acid rain, pollutes, air) like (Climate change, affects, people). (Acid rain, corrodes, plants) like (Climate change, alters, lifestyles). (Acid rain, damages, soil) like (Climate change, increases, poverty)",Acid rain is a form of pollution that is created when sulfur and nitrogen oxides are released into the air and react with the water vapor. This acid rain pollutes the air and corrodes plants when it comes into contact with them. It also damages the soil by reducing the pH level and making it too acidic for certain plants to survive in.,"Climate change has a direct impact on people, as it alters their lifestyles and affects their livelihoods. Rising temperatures, changing weather patterns, and extreme weather events can lead to food insecurity, displacement, and health issues, which further increases poverty levels in many communities. The effects of climate change are far-reaching and are felt by people all over the world, making it a major global challenge."
24,649Describe the life cycle of a robot,649,Describe the life cycle of a plant,Natural Sciences,Engineering,Describe the life cycle of a robot,Robotics,"(seed, germinates, root) like (circuit board, activates, motor). (foliage, absorbs, sunlight) like (sensors, interpret, data). (flower, produces, pollen) like (program, generates, commands)","The life cycle of a plant begins with a seed. When the seed germinates, it produces a root that will grow into the plant. As it grows, the foliage absorbs sunlight and begins to photosynthesize. Eventually, the plant produces a flower that is capable of producing pollen. This pollen is used for pollination and reproduction.",The life cycle of a robot begins with the activation of its circuit board. This initializes the motor and allows the robot to move around. The robot's sensors are responsible for interpreting data from the environment. This data is used to generate commands and instruct the robot on what actions to take. The robot then follows the commands. The life cycle of a robot is completed when the robot stops following the commands of the program.
29,1208How does photosynthesis work?,1208,How does the internal combustion engine work?,Engineering,Natural Sciences,How does photosynthesis work?,Botany,"(spark plug, ignites, fuel-air mixture) like (chloroplast, absorbs, sunlight) . (piston, compresses, combustible gases) like (chlorophyll, captures, carbon dioxide) . (ignition, creates, thermal energy) like (ATP, produces, chemical energy)","The internal combustion engine is powered by a fuel-air mixture that is ignited by a spark plug.  The spark plug creates a spark that ignites the combustible gases, which then expands and forces the piston downwards.  The combustion of the fuel-air mixture creates thermal energy, which is then used to drive the piston back up and turn the crankshaft.  The ignition of the fuel-air mixture and subsequent compression of the combustible gases are key elements of the internal combustion engine.","Photosynthesis is a process by which plants absorb sunlight and convert it into chemical energy. The process occurs in the chloroplast, where the pigment chlorophyll captures the sunlight and combines it with carbon dioxide from the environment. The reaction produces ATP, a molecule that stores and releases chemical energy for the plant's metabolic processes."
32,157Describe the process of breaking down organic matter,157,Describe the process of recycling an aluminum can,Engineering,Biomedical and Health Sciences,Describe the process of breaking down organic matter,Biomedical and Health Sciences,"(Aluminum can, extracted from, ore) like (Organic matter, broken down from, food). (Aluminum can, melted, at high temperature) like (Organic matter, digested, by enzymes). (Aluminum can, molded, into shape) like (Organic matter, absorbed, into the bloodstream)","The process of recycling an aluminum can starts with extracting the metal from ore. The aluminum can is then melted at a high temperature, and then molded into the desired shape. The melted aluminum can is then cooled in order to retain its shape. Finally, the aluminum can is polished for a finished look. All of these steps are necessary for the successful recycling of an aluminum can.","Organic matter is broken down from food by enzymes. Digestive enzymes break down the organic matter into smaller pieces that can be more readily absorbed into the bloodstream. The enzymes break down the organic matter into its molecular building blocks, which can then be absorbed into the bloodstream."
52,416How does a plant absorb nutrients and grow?,416,How does a broken bone get treated and healed?,Biomedical and Health Sciences,Natural Sciences,How does a plant absorb nutrients and grow?,Botany,"(fracture, heals, bone) like (germination, grows, seed). (plaster cast, immobilizes, limb) like (roots, absorb, nutrients). (medication, reduces, inflammation) like (photosynthesis, produces, energy)","When a fracture occurs, the body naturally works to heal the bone. To support this process, a plaster cast is used to immobilize the limb. Additionally, medication can be prescribed to reduce the inflammation and pain associated with the fracture. This helps to facilitate the healing process, so the broken bone can heal and the patient can return to their normal activities.","The process of germination begins with the growth of a seed, which then develops into a plant. The roots of the plant absorb the nutrients from the soil, which help the plant grow. Photosynthesis is the process by which plants produce energy. This energy is used to create the nutrients needed for the plant to grow."
61,1213How do cells divide and replicate?,1213,How do icebergs form?,Natural Sciences,Biomedical and Health Sciences,How do cells divide and replicate?,Biomedical and Health Sciences,"(water, freezes, into ice) like (DNA, divides, into chromosomes). (pressure, increases, temperature) like (enzyme, increases, cellular activity). (surface, melts, into liquid) like (membrane, divides, into two cells)","Icebergs form when water freezes into ice. The pressure increases the temperature at which the water freezes. As the ice continues to form, the pressure increases even more, causing the temperature to rise. As the pressure continues to rise, some of the ice on the surface melts into liquid. The liquid then refreezes, forming a large mass of ice which is an iceberg.","The process of cell division begins with the DNA in the cell dividing into chromosomes. The activity of enzymes in the cell increases, resulting in the various cellular processes occurring faster. These processes culminate in the membrane of the cell dividing into two cells, thus replicating the original cell."
63,1025Describe the typical steps in conducting a survey study.,1025,Describe the typical steps in repairing a flat bicycle tire.,Engineering,Social Sciences,Describe the typical steps in conducting a survey study.,Social Sciences,"(pump up, inflate, tire) like (gather data, collect, survey results). (remove, take out, inner tube) like (analyze, process, survey data). (replace, put in, new tube) like (interpret, evaluate, survey results)","The first step in repairing a flat bicycle tire is to pump up the tire to inflate it. Then, the inner tube must be removed and taken out from the tire. Finally, a new tube should be put in and replaced, allowing the tire to be inflated again.","The first step in conducting a survey study is to gather data. This involves collecting survey responses from participants. Once all the survey responses have been collected, the next step is to analyze the data. This involves processing the survey responses to gain an understanding of the data. Finally, the survey results are interpreted and evaluated to draw conclusions from the survey data."
67,519Describe the life cycle of an infectious disease,519,Describe the life cycle of a fish,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of an infectious disease,Biomedical and Health Sciences,"(eggs, hatch, larvae) like (viruses, replicate, particles). (juveniles, develop, adult form) like (pathogens, mutate, more virulent form). (adults, spawn, eggs) like (infectious agents, spread, through contact)","The life cycle of a fish begins with eggs being laid by the adult fish. The eggs hatch into larvae that begin to grow and develop until they reach their juvenile form. As the juveniles mature, they continue to develop until they reach their adult form. At this point, the adults are ready to spawn and lay eggs of their own, completing the cycle.","The life cycle of an infectious disease begins with the presence of viruses that replicate to form more particles. These viruses can mutate to form a more virulent form, which can cause more serious disease. The infectious agents are then spread through contact with an infected person or animal. This contact can be through respiratory droplets, contact with bodily fluids, or contact with contaminated surfaces. The cycle then repeats itself when the new infectious agents are passed on to another person or animal."
70,483Describe the process of photosynthesis,483,Describe the process of writing and posting a letter,Social Sciences,Natural Sciences,Describe the process of photosynthesis,Natural Sciences,"(writing, transforms, words) like (chloroplast, transforms, sunlight). (ink, absorbs, paper) like (chlorophyll, absorbs, carbon dioxide). (postmark, sends, letter) like (oxygen, releases, atmosphere)","Writing a letter is a creative process that transforms words into meaningful communication. Using a pen or pencil, ink is absorbed into the paper. The letter is then folded and placed in an envelope, where a postmark is stamped to send the letter.","Photosynthesis is a process that occurs in plants and certain other organisms. It involves the transformation of sunlight into chemical energy by chloroplasts. Chlorophyll, which is found in the chloroplasts, absorbs the sunlight and carbon dioxide to create energy. This energy is used by the plant for growth and development. Photosynthesis also releases oxygen into the atmosphere."
72,628How does photosynthesis work?,628,Describe how the pancreas works,Biomedical and Health Sciences,Natural Sciences,How does photosynthesis work?,Biology,"(pancreas, secretes, hormones) like (chloroplasts, produce, glucose). (enzymes, digest, nutrients) like (light, convert, carbon dioxide). (insulin, regulates, blood sugar) like (oxygen, releases, water)","The pancreas is an important part of the digestive system that secretes enzymes and hormones. The enzymes produced by the pancreas are necessary for digestion and breaking down of the nutrients in food. The pancreas also secretes insulin, which is a hormone that helps to regulate blood sugar levels. Without the pancreas, the body would not be able to digest food properly or regulate blood sugar levels.",Photosynthesis is the process by which plants produce glucose. This process occurs in the chloroplasts of the plant. Light energy is used to convert carbon dioxide and water into glucose. This light energy is obtained from the sun. The reaction also releases oxygen which is released into the atmosphere through small openings in the leaves. The remaining water is then used to produce the glucose.
77,649Describe the life cycle of a car,649,Describe the life cycle of a plant,Natural Sciences,Engineering,Describe the life cycle of a car,Automotive Engineering,"(seed, germinates, root) like (sparkplug, ignites, fuel). (chlorophyll, absorbs, sunlight) like (oxygen sensor, detects, air-fuel ratio). (branches, produce, leaves) like (exhaust, emits, pollutants)","The life cycle of a plant begins with a seed that germinates and grows a root. The roots help to anchor the plant in the soil and also provide nutrients to the plant. The plant then grows upward and produces branches. The branches then produce leaves, which are important for photosynthesis. The leaves contain chlorophyll which absorbs the sunlight and uses it to convert carbon dioxide and water into energy.","The sparkplug of a car ignites the fuel, which then combusts to produce power that causes the car to move. The oxygen sensor detects the air-fuel ratio and adjusts the fuel injection to ensure optimal performance. The exhaust emits pollutants from the car, which is why regular vehicle maintenance is important."
78,444How do people influence public opinion?,444,How do bees pollinate plants?,Natural Sciences,Social Sciences,How do people influence public opinion?,Social Sciences,"(bees, transfer, pollen) like (people, spread, information). (nectar, attract, bees) like (ideas, attract, people). (flowers, provide, food source) like (media, provide, source of information)","Bees play an important role in pollinating plants by transferring pollen from one flower to another. The nectar of flowers is a main attractant for bees, since it provides a food source for them. As they fly from flower to flower, the bees transfer the pollen, helping to fertilize the plants and aid in the production of fruits and vegetables.","People influence public opinion by spreading information. Ideas can be powerful and often attract people to a cause or belief. The media is a major source of information, and can be used to sway public opinion by highlighting certain ideologies or beliefs. People are also able to spread their own personal opinions through their own networks, which can further influence public opinion."
89,1153Describe how a human population changes over time,1153,Describe how radioactive atoms decay,Natural Sciences,Social Sciences,Describe how a human population changes over time,Demography,"(radioactive atoms, decay, into other elements) like (humans, reproduce, into new generations). (energy, released, as radiation) like (resources, allocated, among different groups). (half-life, determines, rate of decay) like (life expectancy, determines, rate of mortality)","Radioactive atoms decay into other elements, which is a natural process of atomic disintegration. During this process, energy is released as radiation. The rate of decay is determined by the half-life of the radioactive material, which is the amount of time it takes for half of the atoms to decay.","Humans reproduce into new generations, which affects the size of the population. Resources must be allocated among different groups, which can affect the growth of the population and the rate of mortality. Life expectancy also plays a role in determining the rate of mortality, and thus the rate of population growth."
